id_transaction, client_nom, client_age, client_ville, produit_nom     , produit_categorie, produit_marque, prix_catalogue, magasin_nom   , magasin_type, magasin_region      , date_vente, quantite, montant_total
         463.0, david     ,       40.0, bordeaux    , smartphone      , téléphonie       , apple         ,         1200.0, 3547          , physique    , auvergne-rhône-alpes, 2023-06-11,        5,        6000.0
         132.0, alice     ,       25.0, paris       , ordinateur      , 3                , dell          ,          800.0, boutique lyon , physique    , auvergne-rhône-alpes, 2023-04-20,        2,        1600.0
         184.0, charlie   ,       29.0, marseille   , casque audio    , accessoires      , sony          ,          150.0, boutique lyon , physique    , auvergne-rhône-alpes, 1745-04-27,        1,         150.0
         349.0, bob       ,       34.0, lyon        , smartphone      , 3                , apple         ,         1200.0, e-shop        , en ligne    , national            , 2023-05-05,        2,        2400.0
         263.0, emma      ,       31.0, toulouse    , casque audio    , accessoires      , sony          ,          150.0, 4751          , physique    , île-de-france       , 2023-04-12,        3,         450.0
         226.0, charlie   ,       29.0, marseille   , smartphone      , 3                , apple         ,         1200.0, boutique lyon , physique    , auvergne-rhône-alpes, 2023-01-24,        4,        4800.0
         288.0, charlie   ,       29.0, marseille   , smartphone      , téléphonie       , apple         ,         1200.0, boutique lyon , physique    , auvergne-rhône-alpes, 1742-01-16,        5,        6000.0
         215.0, david     ,    48781.0, bordeaux    , montre connectée, accessoires      , garmin        ,          300.0, e-shop        , en ligne    , national            , 2023-03-30,        3,         900.0
         146.0, 78        ,       31.0, toulouse    , ordinateur      , informatique     , dell          ,          800.0, e-shop        , en ligne    , national            , 2023-05-17,        4,        3200.0
         344.0, charlie   ,       29.0, marseille   , casque audio    , accessoires      , sony          ,          150.0, boutique lyon , physique    , auvergne-rhône-alpes, 1702-06-28,        4,         600.0
          17.0, bob       ,       34.0, lyon        , smartphone      , 3                , apple         ,         1200.0, e-shop        , en ligne    , national            , 2023-04-08,        3,        3600.0
         308.0, alice     ,       25.0, paris       , smartphone      , 3                , apple         ,         1200.0, e-shop        , en ligne    , national            , 2023-06-03,        1,        1200.0
          97.0, alice     ,       25.0, paris       , montre connectée, accessoires      , garmin        ,          300.0, boutique lyon , physique    , auvergne-rhône-alpes, 1821-06-25,        2,         600.0
         375.0, emma      ,       31.0, toulouse    , smartphone      , téléphonie       , apple         ,         1200.0, 3547          , physique    , auvergne-rhône-alpes, 2023-02-06,        3,        3600.0
         210.0, 12        ,       40.0, bordeaux    , tablette        , informatique     , samsung       ,          600.0, 789           , physique    , île-de-france       , 2023-04-27,        5,        3000.0
         233.0, bob       ,       34.0, lyon        , tablette        , informatique     , samsung       ,          600.0, boutique lyon , physique    , auvergne-rhône-alpes, 1632-03-07,        4,        2400.0
         431.0, david     ,       40.0, bordeaux    , smartphone      , téléphonie       , apple         ,         1200.0, boutique lyon , physique    , auvergne-rhône-alpes, 1852-04-14,        3,        3600.0
         446.0, bob       ,       34.0, lyon        , casque audio    , accessoires      , sony          ,          150.0, boutique lyon , physique    , auvergne-rhône-alpes, 2023-04-04,         ,            
         110.0, bob       ,       34.0, lyon        , tablette        , informatique     , samsung       ,          600.0, boutique lyon , physique    , auvergne-rhône-alpes, 2023-01-19,         ,            
          58.0, emma      ,       31.0, toulouse    , tablette        , informatique     , samsung       ,          600.0, boutique paris, physique    , île-de-france       , 2023-02-18,         ,            
         363.0, emma      ,       31.0, toulouse    , smartphone      , téléphonie       , apple         ,         1200.0, e-shop        , en ligne    , national            , 2023-01-24,         ,            
          12.0, emma      ,       31.0, toulouse    , casque audio    , accessoires      , sony          ,          150.0, boutique lyon , physique    , auvergne-rhône-alpes, 2023-02-19,         ,            
         117.0, emma      ,       31.0, toulouse    , tablette        , informatique     , samsung       ,          600.0, boutique lyon , physique    , auvergne-rhône-alpes, 2023-04-25,         ,            
          64.0, emma      ,       31.0, toulouse    , montre connectée, accessoires      , garmin        ,          300.0, boutique paris, physique    , île-de-france       , 2023-06-08,         ,            
          90.0, alice     ,       25.0, paris       , smartphone      , téléphonie       , apple         ,         1200.0, e-shop        , en ligne    , national            , 2023-03-26,         ,            
